site,point,year,det1,det2,det3,det4,det5,det6,det7,det8,det9,det10,ttd,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,wind1,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,wind10
SGL089,CA0441,2020,0,0,0,0,0,1,0,0,0,0,6,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0442,2020,0,0,1,0,0,0,0,0,0,1,3,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0443,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0444,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0445,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0446,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0447,2020,1,1,1,1,1,1,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0448,2020,1,1,1,1,0,1,1,0,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0450,2020,0,1,1,0,0,0,0,0,0,0,2,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0451,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0452,2020,1,1,1,1,1,1,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0453,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0454,2020,0,0,0,0,0,0,0,0,0,0,11,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0455,2020,0,1,1,0,0,0,0,0,0,0,2,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0456,2020,1,0,1,0,0,0,0,1,1,0,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0458,2020,1,1,1,1,1,1,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0459,2020,0,1,0,1,0,0,0,0,0,1,2,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0460,2020,0,0,0,0,0,0,0,0,1,1,9,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0462,2020,0,0,0,0,0,1,0,0,0,0,6,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0463,2020,0,0,0,0,0,1,0,0,1,0,6,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0464,2020,1,1,0,0,0,1,1,1,1,0,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0465,2020,0,0,0,0,0,0,0,0,1,0,9,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0466,2020,1,1,1,1,1,1,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0467,2020,1,0,1,1,0,1,0,0,0,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
SGL089,CA0468,2020,1,1,1,0,1,0,1,1,1,1,1,-1.486301085,-1.156011955,-0.825722825,-0.495433695,-0.165144565,0.165144565,0.495433695,0.825722825,1.156011955,1.486301085,2.3,2.683333333,5.98,6.67,1.84,2.53,4.14,7.36,4.6,3.45
