"site","date","count"
"M-11",2024-06-24,15
"M-11",2024-06-25,2
"M-11",2024-06-26,0
"M-11",2024-06-27,2
"M-11",2024-06-28,0
"M-12",2024-03-10,0
"M-12",2024-03-11,0
"M-12",2024-03-12,0
"M-12",2024-03-13,0
"M-12",2024-03-14,0
"M-12",2024-03-15,0
"M-12",2024-03-16,0
"M-12",2024-03-17,0
"M-12",2024-03-18,0
"M-12",2024-03-19,0
"M-12",2024-03-20,0
"M-12",2024-03-21,0
"M-12",2024-03-22,0
"M-12",2024-03-23,0
"M-12",2024-03-24,0
"M-12",2024-03-25,0
"M-12",2024-03-26,0
"M-12",2024-03-27,0
"M-12",2024-03-28,0
"M-12",2024-03-29,0
"M-12",2024-03-30,0
"M-12",2024-03-31,0
"M-12",2024-04-01,1
"M-12",2024-04-02,0
"M-12",2024-04-03,0
"M-12",2024-04-04,0
"M-12",2024-04-05,0
"M-12",2024-04-06,0
"M-12",2024-04-07,0
"M-12",2024-04-08,0
"M-12",2024-04-09,5
"M-12",2024-04-10,2
"M-12",2024-04-11,0
"M-12",2024-04-12,0
"M-12",2024-04-13,0
"M-12",2024-04-14,0
"M-12",2024-04-15,0
"M-12",2024-04-16,0
"M-12",2024-04-17,0
"M-12",2024-04-18,1
"M-12",2024-04-19,12
"M-12",2024-04-20,0
"M-12",2024-04-21,0
"M-12",2024-04-22,4
"M-12",2024-04-23,5
"M-12",2024-04-24,12
"M-12",2024-04-25,9
"M-12",2024-04-26,1
"M-12",2024-04-27,26
"M-12",2024-04-28,6
"M-12",2024-04-29,24
"M-12",2024-04-30,5
"M-12",2024-05-01,1
"M-12",2024-05-02,16
"M-12",2024-05-03,1
"M-12",2024-05-04,6
"M-12",2024-05-05,20
"M-12",2024-05-06,9
"M-12",2024-05-07,43
"M-12",2024-05-08,46
"M-12",2024-05-09,31
"M-12",2024-05-10,21
"M-12",2024-05-11,24
"M-12",2024-05-12,30
"M-12",2024-05-13,0
"M-12",2024-05-14,2
"M-12",2024-05-15,0
"M-12",2024-05-16,35
"M-12",2024-05-17,19
"M-12",2024-05-18,50
"M-12",2024-05-19,38
"M-12",2024-05-20,42
"M-12",2024-05-21,26
"M-12",2024-05-22,97
"M-12",2024-05-23,83
"M-12",2024-05-24,7
"M-12",2024-05-25,56
"M-12",2024-05-26,102
"M-12",2024-05-27,1
"M-12",2024-05-28,17
"M-12",2024-05-29,24
"M-12",2024-05-30,41
"M-12",2024-05-31,45
"M-12",2024-06-01,108
"M-12",2024-06-02,67
"M-12",2024-06-03,22
"M-12",2024-06-04,54
"M-12",2024-06-05,0
"M-12",2024-06-06,0
"M-12",2024-06-07,4
"M-12",2024-06-08,38
"M-12",2024-06-09,28
"M-12",2024-06-10,7
"M-12",2024-06-11,16
"M-12",2024-06-12,0
"M-12",2024-06-13,2
"M-12",2024-06-14,1
"M-12",2024-06-15,0
"M-12",2024-06-16,0
"M-12",2024-06-17,0
"M-12",2024-06-18,0
"M-12",2024-06-19,0
"M-12",2024-06-20,33
"M-12",2024-06-21,16
"M-12",2024-06-22,6
"M-12",2024-06-23,13
"M-12",2024-06-24,24
"M-12",2024-06-25,32
"M-12",2024-06-26,1
"M-12",2024-06-27,0
"M-12",2024-06-28,2
"M-2",2024-03-10,0
"M-2",2024-03-11,0
"M-2",2024-03-12,0
"M-2",2024-03-13,0
"M-2",2024-03-14,0
"M-2",2024-03-15,0
"M-2",2024-03-16,0
"M-2",2024-03-17,0
"M-2",2024-03-18,0
"M-2",2024-03-19,0
"M-2",2024-03-20,0
"M-2",2024-03-21,0
"M-2",2024-03-22,0
"M-2",2024-03-23,0
"M-2",2024-03-24,0
"M-2",2024-03-25,0
"M-2",2024-03-26,0
"M-2",2024-03-27,0
"M-2",2024-03-28,0
"M-2",2024-03-29,0
"M-2",2024-03-30,0
"M-2",2024-03-31,0
"M-2",2024-04-01,0
"M-2",2024-04-02,0
"M-2",2024-04-03,0
"M-2",2024-04-04,0
"M-2",2024-04-05,0
"M-2",2024-04-06,0
"M-2",2024-04-07,0
"M-2",2024-04-08,0
"M-2",2024-04-09,0
"M-2",2024-04-10,0
"M-2",2024-04-11,0
"M-2",2024-04-12,0
"M-2",2024-04-13,0
"M-2",2024-04-14,0
"M-2",2024-04-15,0
"M-2",2024-04-16,0
"M-2",2024-04-17,0
"M-2",2024-04-18,0
"M-2",2024-04-19,0
"M-2",2024-04-20,0
"M-2",2024-04-21,0
"M-2",2024-04-22,0
"M-2",2024-04-23,0
"M-2",2024-04-24,6
"M-2",2024-04-25,0
"M-2",2024-04-26,5
"M-2",2024-04-27,0
"M-2",2024-04-28,0
"M-2",2024-04-29,3
"M-2",2024-04-30,0
"M-2",2024-05-01,0
"M-2",2024-05-02,3
"M-2",2024-05-03,0
"M-2",2024-05-04,0
"M-2",2024-05-05,5
"M-2",2024-05-06,11
"M-2",2024-05-07,4
"M-2",2024-05-08,0
"M-2",2024-05-09,0
"M-2",2024-05-10,0
"M-2",2024-05-11,0
"M-2",2024-05-12,25
"M-2",2024-05-13,0
"M-2",2024-05-14,0
"M-2",2024-05-15,0
"M-2",2024-05-16,1
"M-2",2024-05-17,0
"M-2",2024-05-18,0
"M-2",2024-05-19,0
"M-2",2024-05-20,1
"M-2",2024-05-21,9
"M-2",2024-05-22,6
"M-2",2024-05-23,10
"M-2",2024-05-24,18
"M-2",2024-05-25,1
"M-2",2024-05-26,1
"M-2",2024-05-27,0
"M-2",2024-05-28,4
"M-2",2024-05-29,0
"M-2",2024-05-30,0
"M-2",2024-05-31,1
"M-2",2024-06-01,3
"M-2",2024-06-02,2
"M-2",2024-06-03,1
"M-2",2024-06-04,1
"M-2",2024-06-05,3
"M-2",2024-06-06,30
"M-2",2024-06-07,44
"M-2",2024-06-08,27
"M-2",2024-06-09,15
"M-2",2024-06-10,2
"M-2",2024-06-11,1
"M-2",2024-06-12,0
"M-2",2024-06-13,0
"M-2",2024-06-14,6
"M-2",2024-06-15,6
"M-2",2024-06-16,0
"M-2",2024-06-17,0
"M-2",2024-06-18,0
"M-2",2024-06-19,0
"M-2",2024-06-20,0
"M-2",2024-06-21,0
"M-2",2024-06-22,1
"M-2",2024-06-23,0
"M-2",2024-06-24,0
"M-2",2024-06-25,1
"M-2",2024-06-26,0
"M-2",2024-06-27,0
"M-2",2024-06-28,5
"M-5",2024-03-10,0
"M-5",2024-03-11,0
"M-5",2024-03-12,0
"M-5",2024-03-13,0
"M-5",2024-03-14,0
"M-5",2024-03-15,0
"M-5",2024-03-16,0
