"site","date","count"
"M-12",2024-04-08,169
"M-12",2024-04-09,111
"M-12",2024-04-10,70
"M-12",2024-04-11,0
"M-12",2024-04-12,14
"M-12",2024-04-13,3
"M-12",2024-04-14,51
"M-12",2024-04-15,192
"M-12",2024-04-16,195
"M-12",2024-04-17,161
"M-12",2024-04-18,20
"M-12",2024-04-19,29
"M-12",2024-04-20,158
"M-12",2024-04-21,54
"M-12",2024-04-22,183
"M-12",2024-04-23,164
"M-12",2024-04-24,146
"M-12",2024-04-25,268
"M-12",2024-04-26,117
"M-12",2024-04-27,198
"M-12",2024-04-28,186
"M-12",2024-04-29,270
"M-12",2024-04-30,111
"M-12",2024-05-01,181
"M-12",2024-05-02,149
"M-12",2024-05-03,262
"M-12",2024-05-04,164
"M-12",2024-05-05,284
"M-12",2024-05-06,199
"M-12",2024-05-07,63
"M-12",2024-05-08,72
"M-12",2024-05-09,65
"M-12",2024-05-10,24
"M-12",2024-05-11,168
"M-12",2024-05-12,388
"M-12",2024-05-13,85
"M-12",2024-05-14,60
"M-12",2024-05-15,34
"M-12",2024-05-16,76
"M-12",2024-05-17,139
"M-12",2024-05-18,52
"M-12",2024-05-19,25
"M-12",2024-05-20,174
"M-12",2024-05-21,120
"M-12",2024-05-22,380
"M-12",2024-05-23,196
"M-12",2024-05-24,160
"M-12",2024-05-25,123
"M-12",2024-05-26,171
"M-12",2024-05-27,102
"M-12",2024-05-28,11
"M-12",2024-05-29,49
"M-12",2024-05-30,222
"M-12",2024-05-31,149
"M-12",2024-06-01,124
"M-12",2024-06-02,67
"M-12",2024-06-03,40
"M-12",2024-06-04,67
"M-12",2024-06-05,110
"M-12",2024-06-06,14
"M-12",2024-06-07,122
"M-12",2024-06-08,75
"M-12",2024-06-09,37
"M-12",2024-06-10,96
"M-12",2024-06-11,75
"M-12",2024-06-12,112
"M-12",2024-06-13,135
"M-12",2024-06-14,184
"M-12",2024-06-15,305
"M-12",2024-06-16,222
"M-12",2024-06-17,196
"M-12",2024-06-18,108
"M-12",2024-06-19,169
"M-12",2024-06-20,41
"M-12",2024-06-21,98
"M-12",2024-06-22,32
"M-12",2024-06-23,45
"M-12",2024-06-24,1
"M-12",2024-06-25,123
"M-12",2024-06-26,101
"M-12",2024-06-27,133
"M-12",2024-06-28,10
"M-2",2024-03-10,0
"M-2",2024-03-11,0
"M-2",2024-03-12,0
"M-2",2024-03-13,0
"M-2",2024-03-14,0
"M-2",2024-03-15,0
"M-2",2024-03-16,6
"M-2",2024-03-17,16
"M-2",2024-03-18,0
"M-2",2024-03-19,0
"M-2",2024-03-20,2
"M-2",2024-03-21,33
"M-2",2024-03-22,140
"M-2",2024-03-23,59
"M-2",2024-03-24,195
"M-2",2024-03-25,77
"M-2",2024-03-26,42
"M-2",2024-03-27,4
"M-2",2024-03-28,47
"M-2",2024-03-29,1
"M-2",2024-03-30,7
"M-2",2024-03-31,22
"M-2",2024-04-01,78
"M-2",2024-04-02,69
"M-2",2024-04-03,165
"M-2",2024-04-04,109
"M-2",2024-04-05,4
"M-2",2024-04-06,148
"M-2",2024-04-07,63
"M-2",2024-04-08,195
"M-2",2024-04-09,207
"M-2",2024-04-10,188
"M-2",2024-04-11,80
"M-2",2024-04-12,110
"M-2",2024-04-13,74
"M-2",2024-04-14,201
"M-2",2024-04-15,10
"M-2",2024-04-16,0
"M-2",2024-04-17,0
"M-2",2024-04-18,0
"M-2",2024-04-19,0
"M-2",2024-04-20,0
"M-2",2024-04-21,0
"M-2",2024-04-22,237
"M-2",2024-04-23,389
"M-2",2024-04-24,376
"M-2",2024-04-25,243
"M-2",2024-04-26,245
"M-2",2024-04-27,177
"M-2",2024-04-28,289
"M-2",2024-04-29,127
"M-2",2024-04-30,281
"M-2",2024-05-01,189
"M-2",2024-05-02,157
"M-2",2024-05-03,380
"M-2",2024-05-04,428
"M-2",2024-05-05,375
"M-2",2024-05-06,410
"M-2",2024-05-07,506
"M-2",2024-05-08,371
"M-2",2024-05-09,285
"M-2",2024-05-10,279
"M-2",2024-05-11,324
"M-2",2024-05-12,187
"M-2",2024-05-13,158
"M-2",2024-05-14,171
"M-2",2024-05-15,69
"M-2",2024-05-16,168
"M-2",2024-05-17,183
"M-2",2024-05-18,120
"M-2",2024-05-19,35
"M-2",2024-05-20,230
"M-2",2024-05-21,107
"M-2",2024-05-22,117
"M-2",2024-05-23,125
"M-2",2024-05-24,189
"M-2",2024-05-25,115
"M-2",2024-05-26,221
"M-2",2024-05-27,375
"M-2",2024-05-28,66
"M-2",2024-05-29,59
"M-2",2024-05-30,225
"M-2",2024-05-31,104
"M-2",2024-06-01,102
"M-2",2024-06-02,108
"M-2",2024-06-03,235
"M-2",2024-06-04,90
"M-2",2024-06-05,149
"M-2",2024-06-06,265
"M-2",2024-06-07,129
"M-2",2024-06-08,141
"M-2",2024-06-09,253
"M-2",2024-06-10,244
"M-2",2024-06-11,256
"M-2",2024-06-12,166
"M-2",2024-06-13,131
"M-2",2024-06-14,164
"M-2",2024-06-15,41
"M-2",2024-06-16,131
"M-2",2024-06-17,67
"M-2",2024-06-18,54
"M-2",2024-06-19,169
"M-2",2024-06-20,151
"M-2",2024-06-21,129
"M-2",2024-06-22,92
"M-2",2024-06-23,83
"M-2",2024-06-24,373
"M-2",2024-06-25,120
