"site","date","count","treatment"
"M-12",2024-04-05,0,"mine"
"M-12",2024-04-06,0,"mine"
"M-12",2024-04-07,6,"mine"
"M-12",2024-04-08,169,"mine"
"M-12",2024-04-09,111,"mine"
"M-12",2024-04-10,70,"mine"
"M-12",2024-04-11,0,"mine"
"M-12",2024-04-12,14,"mine"
"M-12",2024-04-13,3,"mine"
"M-12",2024-04-14,51,"mine"
"M-12",2024-04-15,192,"mine"
"M-12",2024-04-16,195,"mine"
"M-12",2024-04-17,161,"mine"
"M-12",2024-04-18,20,"mine"
"M-12",2024-04-19,29,"mine"
"M-12",2024-04-20,158,"mine"
"M-12",2024-04-21,54,"mine"
"M-12",2024-04-22,183,"mine"
"M-12",2024-04-23,164,"mine"
"M-12",2024-04-24,146,"mine"
"M-12",2024-04-25,268,"mine"
"M-12",2024-04-26,117,"mine"
"M-12",2024-04-27,198,"mine"
"M-12",2024-04-28,186,"mine"
"M-12",2024-04-29,270,"mine"
"M-12",2024-04-30,111,"mine"
"M-12",2024-05-01,181,"mine"
"M-12",2024-05-02,149,"mine"
"M-12",2024-05-03,262,"mine"
"M-12",2024-05-04,164,"mine"
"M-12",2024-05-05,284,"mine"
"M-12",2024-05-06,199,"mine"
"M-12",2024-05-07,63,"mine"
"M-12",2024-05-08,72,"mine"
"M-12",2024-05-09,65,"mine"
"M-12",2024-05-10,24,"mine"
"M-12",2024-05-11,168,"mine"
"M-12",2024-05-12,388,"mine"
"M-12",2024-05-13,85,"mine"
"M-12",2024-05-14,60,"mine"
"M-12",2024-05-15,34,"mine"
"M-12",2024-05-16,76,"mine"
"M-12",2024-05-17,139,"mine"
"M-12",2024-05-18,52,"mine"
"M-12",2024-05-19,25,"mine"
"M-12",2024-05-20,174,"mine"
"M-12",2024-05-21,120,"mine"
"M-12",2024-05-22,380,"mine"
"M-12",2024-05-23,196,"mine"
"M-12",2024-05-24,160,"mine"
"M-12",2024-05-25,123,"mine"
"M-12",2024-05-26,171,"mine"
"M-12",2024-05-27,102,"mine"
"M-12",2024-05-28,11,"mine"
"M-12",2024-05-29,49,"mine"
"M-12",2024-05-30,222,"mine"
"M-12",2024-05-31,149,"mine"
"M-12",2024-06-01,124,"mine"
"M-12",2024-06-02,67,"mine"
"M-12",2024-06-03,40,"mine"
"M-12",2024-06-04,67,"mine"
"M-12",2024-06-05,110,"mine"
"M-12",2024-06-06,14,"mine"
"M-12",2024-06-07,122,"mine"
"M-12",2024-06-08,75,"mine"
"M-12",2024-06-09,37,"mine"
"M-12",2024-06-10,96,"mine"
"M-12",2024-06-11,75,"mine"
"M-12",2024-06-12,112,"mine"
"M-12",2024-06-13,135,"mine"
"M-12",2024-06-14,184,"mine"
"M-12",2024-06-15,305,"mine"
"M-12",2024-06-16,222,"mine"
"M-12",2024-06-17,196,"mine"
"M-12",2024-06-18,108,"mine"
"M-12",2024-06-19,169,"mine"
"M-12",2024-06-20,41,"mine"
"M-12",2024-06-21,98,"mine"
"M-12",2024-06-22,32,"mine"
"M-12",2024-06-23,45,"mine"
"M-12",2024-06-24,1,"mine"
